Line,Source Code,AST Nodes,Explanations
1,,,
2,,,
3,// Auto type deduction,,
4,,,
5,auto getValue() {,CompoundStmt; FunctionDecl,
6,,,
7,    return 42;,ReturnStmt,
8,,,
9,},,
10,,,
11,,,
12,,,
13,// Function with decltype,,
14,,,
15,"template <typename T, typename U>",TemplateTypeParmDecl,
16,,,
17,"auto add(T a, U b) -> decltype(a + b) {",FunctionTemplateDecl; FunctionDecl; ParmVarDecl,
18,,,
19,    return a + b;,ReturnStmt,
20,,,
21,},,
22,,,
23,,,
24,,,
25,int main() {,CompoundStmt; FunctionDecl,
26,,,
27,    // Auto variable declarations,,
28,,,
29,    auto x = getValue();,DeclStmt,
30,,,
31,    auto y = 3.14;,DeclStmt,
32,,,
33,,,
34,,,
35,    // decltype usage,,
36,,,
37,    decltype(x) z = x + 10;,DeclStmt,
38,,,
39,,,
40,,,
41,    // Auto with function call,,
42,,,
43,"    auto result = add(x, y);",DeclStmt,
44,,,
45,,,
46,,,
47,    return 0;,ReturnStmt,
48,,,
49,},,
